gene	pvalue
gene.0	0.06820191599627856
gene.1	0.31548369789651187
gene.2	0.8931690166431038
gene.3	0.7672660464934867
gene.4	0.550237855014529
gene.0	0.9824130792758161
gene.1	0.941354839236908
gene.2	0.9245783830655779
gene.3	0.18906842338154428
gene.4	0.6002466821940621
gene.0	0.36887385933546246
gene.1	0.04319278969946694
gene.2	0.351885358709237
gene.3	0.3912294404188674
gene.4	0.8609240575792059
gene.0	0.012074047536965504
gene.1	0.5894804973970009
gene.2	0.13846952114977795
gene.3	0.9971223493172628
gene.4	0.3763821233127559
gene.0	0.7375587212345225
gene.1	0.6144044656042605
gene.2	0.6074444825827021
gene.3	0.998617401048391
gene.4	0.3827660827621049
gene.0	0.663312966910257
gene.1	0.5245871017609083
gene.2	0.10403038840405432
gene.3	0.654301364592213
gene.4	0.35242479097910084
gene.0	0.9268482375702075
gene.1	0.8407653368661189
gene.2	0.5698711469379067
gene.3	0.918249088518837
gene.4	0.9455752126939564
gene.0	0.8908732242101508
gene.1	0.6329201284801597
gene.2	0.888079796907804
gene.3	0.6676044351091704
gene.4	0.01285681509092329
gene.0	0.6665839810720968
gene.1	0.3330033880645662
gene.2	0.6038673219557654
gene.3	0.6292014704902147
gene.4	0.5868823005270958
gene.0	0.9818137478575191
gene.1	0.4989605124221711
gene.2	0.49135859987109265
gene.3	0.0728822466480058
gene.4	0.5509452365329073
gene.0	0.39100310117370296
gene.1	0.49982281207180645
gene.2	0.11186199217080972
gene.3	0.23540097551317585
gene.4	0.6963864955631356
gene.0	0.5262033670524625
gene.1	0.5746363177945489
gene.2	0.013322806673057741
gene.3	0.9084247387278245
gene.4	0.01243734341966185
gene.0	0.27407009073928534
gene.1	0.2679124366169958
gene.2	0.8266717217635254
gene.3	0.4204110216561203
gene.4	0.47188387321565806
gene.0	0.3176284618280847
gene.1	0.5135159393560051
gene.2	0.1476492716158011
gene.3	0.8772370888107115
gene.4	0.8579173696440696
gene.0	0.6691005662419829
gene.1	0.11755470729642947
gene.2	0.2805968841811842
gene.3	0.11949695379979086
gene.4	0.15705584373385872
gene.0	0.040751057878128716
gene.1	0.394801393740685
gene.2	0.044940155121285796
gene.3	0.5811961103549311
gene.4	0.9745684411876008
gene.0	0.23779742231973366
gene.1	0.1366415989622879
gene.2	0.5210876299653517
gene.3	0.6764822275016666
gene.4	0.4640571081517767
gene.0	0.4046987001768295
gene.1	0.6896806952523755
gene.2	0.4200139651389867
gene.3	0.896745113220676
gene.4	0.5226236584332417
gene.0	0.42662514148963515
gene.1	0.9344349459851611
gene.2	0.2995996279792017
gene.3	0.21868256855699886
gene.4	0.023252078736459292
gene.0	0.5308179115205895
gene.1	0.3132497257891812
gene.2	0.8761955645765337
gene.3	0.12368925039924705
gene.4	0.9382246068807067
